,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ALL Items Purchased ALL Locations,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Date Range: 06/09/2023 - 06/08/2024, 06/09/2024 - 06/08/2025",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Anand Ganger, 6/8/2025 10:46 AM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Location Nickname,Billing Location Address,Billing Location Account Number,Shipped Location Nickname,Shipped Location Address,Shipped Location Account Number,Short Description,Extended Description,Item Code,Manufacturer,Uom,Previous Quantity,Current Quantity,Previous Amount,Current Amount,CategoryTree,Category,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Category Level 9,Category Level 10
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Mayo Tray 10""","Mayo Tray 10""",1061147,"Integra York Pa, Inc",EA,4,,59.00,,"Equipment > Dme, Mobility, & Transfer > DME > Instrument & Mayo Stands",Equipment,"Dme, Mobility, & Transfer",DME,Instrument & Mayo Stands,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"AquaSonic Clear Ultrasound Gel 5Ltr/Bt, 4 BT/CA","AquaSonic Clear Ultrasound Gel 5Ltr/Bottle, 4 BT/CA",1019866,Parker Laboratories Inc,BT,6,14,149.10,347.90,Equipment > Imaging > Ultrasound > Consumables,Equipment,Imaging,Ultrasound,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"AquaSonic Clear Ultrasound Gel 5Ltr/Bt, 4 BT/CA","AquaSonic Clear Ultrasound Gel 5Ltr/Bottle, 4 BT/CA",1019866,Parker Laboratories Inc,CA,2,,198.80,,Equipment > Imaging > Ultrasound > Consumables,Equipment,Imaging,Ultrasound,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,LaseAdapt SC Handpiece Adapter For Sciton ProFractional Therapy 10/Ca,LaseAdapt SC Handpiece Adapter For Sciton ProFractional Therapy 10/Case,1405951,Conmed Endosurgery,CA,3,,974.34,,Equipment > Procedural Tools > Electrosurgery > Accessories & Parts,Equipment,Procedural Tools,Electrosurgery,Accessories & Parts,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Change-A-Tip Hi-Temp Sheath 10/BX,Change-A-Tip Hi-Temp Sheath 10/Box,1024966,Bovie Medical Corporation,BX,1,2,16.95,34.44,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Electrolase Blade Electrode 100/Bx, 12 BX/CA","Electrolase Blade Electrode 100/Box, 12 BX/CA",2712856,Conmed Endosurgery,BX,4,6,260.74,400.00,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Electrolase Electrosurgical Electrode 100/Bx,Electrolase Electrosurgical Electrode 100/Box,9203113,Conmed Endosurgery,BX,2,5,133.12,346.46,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Handpiece Cover For Hyfrecator Handpiece 100/Bx,Handpiece Cover For Hyfrecator Handpiece 100/Box,9917179,Bovie Medical Corporation,BX,7,3,189.84,80.66,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Smoke Evacuation Tubing 24/Ca,Smoke Evacuation Tubing 24/Case,1374362,Buffalo Filter,CA,2,,201.72,,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Blood Collection Set Needle 21gx3/4"" 12"" Tubing Winged Green Safety Shield 50/Bx, 4 BX/CA","Henry Schein Blood Collection Set Needle 21g 3/4"" 12"" Tubing Winged Green Safety Shield Sterile Not Made With Natural Rubber Latex Disposable 50/Box, 4 BX/CA",5700733,Henry Schein Inc.,BX,2,1,104.14,40.00,Laboratory > Blood Collection > Winged Sets,Laboratory,Blood Collection,Winged Sets,,,,,,,
