Title,ASIN,Times Ordered,Total Quantity,Total Spent,Avg Price,Min Price,Max Price,Potential Savings %
"Tork PeakServe Continuous Hand Towel White H5, Advanced, Compressed, 12 x 410 sheets, 105065",B08KGCKD1G,14,24,$1489.98,$61.78,$58.07,$66.91,6.5%
"Tork Mini Jumbo Toilet Paper Roll White T2, Advanced, 2-Ply, 12 x 751', 12024402",B071VMLTT5,16,23,$1362.24,$50.32,$0.00,$58.70,91.6%
"Amazon Basics Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count",B093X8QQ12,18,48,$826.31,$17.37,$14.63,$19.79,15.0%
SUNVIE LED Low Voltage Pathway Lights Wired 3000K Anti Glare Low Voltage Landscape Lighting Waterpro,B0DP9HR4RG,4,6,$779.94,$129.99,$129.99,$129.99,0.0%
Lexmark Unison Toner Cartridge - Black,B07F7VVKDT,4,7,$678.71,$98.68,$94.00,$102.99,3.1%
SUNVIE 300W Low Voltage Landscape Transformer with 2 Independent Control Output Landscape Lighting T,B0CKVX3DTW,4,5,$527.95,$107.99,$95.99,$119.99,9.1%
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,7,10,$396.26,$39.73,$38.17,$39.99,3.7%
"Genuine Joe 21120 C-Fold Towels,1-Ply,13-Inch x10-1/8-Inch ,200 Towels/PK,12/CT,WE",B002Q3TYA6,11,14,$388.21,$27.70,$26.63,$27.96,4.0%
"Dixie PerfecTouch 12oz Insulated Paper Hot Cup by GP PRO (Georgia-Pacific), Fits Large Lids, Coffee ",B00F2P9CYI,3,3,$309.53,$103.18,$101.27,$106.99,1.8%
"Tork Alcohol Foam Hand Sanitizer S4, 6 x 1L, 400217, 33.82 Fl Oz (Pack of 6)",B09NMFW1Y7,3,3,$305.24,$101.75,$93.88,$114.57,7.7%
SUNVIE 12 Pack Low Voltage LED Outdoor In-Ground Waterproof Shielded Well Lights 12V-24V Warm White ,B09B74KVMP,3,3,$293.77,$97.92,$90.39,$112.99,7.7%
"Lexmark 55b1000 Return Program Toner, 3,000 Page-Yield, Black",B08BGBLX22,3,3,$262.87,$87.62,$86.00,$89.87,1.9%
"Amazon Basics Flextra Tall Kitchen Drawstring Trash Bags, Unscented, 13 Gallon, 90 Count, Pack of 1",B092VKZB89,9,19,$229.87,$12.55,$7.64,$15.59,36.9%
"Softsoap - US05264A SOFTSOAP Liquid Hand Soap Refill, Soothing Aloe Vera, 50 Ounce Bottle, Bathroom ",B07LGTMD1Q,4,6,$199.26,$32.57,$28.44,$38.94,14.4%
"Amazon Basics Make Up Remover Wipes, Fragrance Free, 150 Count (6 Packs of 25) (Previously Solimo)",B0864QL8CG,9,9,$191.96,$21.33,$20.07,$22.11,5.9%
"SUNVIE 60W Low Voltage Landscape Transformer with Timer and Photocell Sensor, 120V AC to 12V DC Land",B0CGJ316GS,4,5,$184.95,$36.99,$36.99,$36.99,0.0%
"Green Haritage 800 9"" Diameter x 3.42"" Width, 2-Ply Jumbo Roll Bathroom Tissue (Case of 12)",B004MDM3QU,5,5,$171.68,$34.34,$32.70,$35.93,4.8%
"NextDayLabels - # 7 Coin Brown Kraft Envelopes, Peel & Seal, for Small Parts, Cash, Box of 500",B00V2G753G,3,3,$167.13,$55.71,$55.71,$55.71,0.0%
"Hypafix Dressing Retention Tape 2 Inch x 10 Yards - Pack of 2 Rolls, Original Version",B014SUA3MM,7,14,$165.88,$11.55,$9.89,$13.44,16.5%
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",B07PNKZ4Y8,5,5,$165.78,$33.16,$29.16,$35.82,12.1%
"Bluetable 9 Inch Paper Plates Bulk - 1200 Count - Uncoated White 9"" Dinner Plate Pizza Plate Decorat",B0DJ9SH3GN,3,3,$151.90,$50.63,$49.10,$51.40,3.0%
"7Magic Compatible Toner Cartridge (No Chip, High Yield) Replacement for HP 58A CF258A MFP M428fdw M4",B0C69895YJ,3,3,$149.97,$49.99,$49.99,$49.99,0.0%
"Tampax Pearl Tampons Multipack, Light/Regular/Super Absorbency, with Leakguard Braid, Unscented, 94 ",B0B33LJX6N,7,7,$143.75,$20.54,$20.22,$22.43,1.5%
Clinical Guard 100 Pregnancy Tests Strips - Sensitive & Accurate Measurement Within 5 mins - Early D,B007VT4F0E,6,6,$135.14,$22.52,$21.59,$22.99,4.1%
LxTek Compatible Toner Cartridge Replacement for Canon 137 Black Toner Cartridge 137 CRG137 to Use w,B01GHQC6AW,4,5,$134.49,$26.96,$26.65,$27.89,0.9%
"Tork Premium MB579 Soft Xpress Multifold Paper Hand Towel, 3-Panel, 2-Ply, 9.125"" Width x 9.5"" Lengt",B08WQCCVHC,3,3,$133.34,$44.45,$43.09,$46.72,3.1%
"CURAD Petroleum Jelly Skin Protectant, Healing Ointment for Dry Cracked Skin, 144 Count Packets",B00CPPR9UC,5,8,$128.21,$15.96,$14.42,$16.99,10.0%
"Pepperidge Farm Goldfish Cheddar Crackers, 1.5 oz. Snack Packs, 30 Count",B0116WQ62G,9,9,$126.91,$14.10,$12.99,$14.99,7.9%
Zep Ammonia Free Glass Cleaner Concentrate - 1 Gallon (Case of 4) ZU1052128 - Professional Grade For,B07T4K3TNX,3,3,$124.92,$41.64,$41.64,$41.64,0.0%
"Minoston Matter Outdoor Smart Plug, WiFi Heavy Duty Plug-in Outlet IP65 Waterproof, Compatible with ",B0814RVFJC,4,4,$120.00,$30.00,$30.00,$30.00,0.0%
