Title,ASIN,Quantity,Total Price,Unit Price,Date
Master Massage Ergonomic Saddle Chair-Saddle Stool- Hydraulic Swivel Rolling Chair-Salon Clinical Ta,B08CX6CH58,1,$119.77,$119.77,9/30/2024
"Dixie PerfecTouch 12oz Insulated Paper Hot Cup by GP PRO (Georgia-Pacific), Fits Large Lids, Coffee ",B00F2P9CYI,1,$106.99,$106.99,2/20/2025
"Dixie PerfecTouch 12oz Insulated Paper Hot Cup by GP PRO (Georgia-Pacific), Fits Large Lids, Coffee ",B00F2P9CYI,1,$101.27,$101.27,5/28/2025
"Dixie PerfecTouch 12oz Insulated Paper Hot Cup by GP PRO (Georgia-Pacific), Fits Large Lids, Coffee ",B00F2P9CYI,1,$101.27,$101.27,5/27/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,2,$79.98,$39.99,5/6/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,2,$79.98,$39.99,3/28/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,2,$76.34,$38.17,5/28/2025
"Starbucks K-Cup Coffee Pods-Starbucks Blonde, Medium & Dark Roast Coffee-Variety Pack for Keurig Bre",B07CGGN6RH,2,$66.36,$33.18,8/8/2024
"Keurig, Coffee Lovers' Collection Variety Pack, Single-Serve Keurig K-Cup Pods, 80 Count (2 Boxes of",B07N93TH75,1,$52.99,$52.99,2/25/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,1,$39.99,$39.99,6/23/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,1,$39.99,$39.99,5/5/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,1,$39.99,$39.99,4/29/2025
"Keurig® Coffee Lover's Collection Variety Pack, Keurig Single Serve K-Cup Pods, 60ct",B0DCW6HDX7,1,$39.99,$39.99,3/24/2025
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",B07PNKZ4Y8,1,$35.82,$35.82,1/21/2025
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",B07PNKZ4Y8,1,$35.82,$35.82,11/13/2024
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",B07PNKZ4Y8,1,$35.82,$35.82,10/31/2024
"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2",B07P23H371,1,$34.56,$34.56,1/21/2025
"Kicking Horse Coffee, Smart Ass, Medium Roast, Whole Bean, 2.2 Pound - Certified Organic, Fairtrade,",B0758GBS8Y,1,$30.81,$30.81,9/29/2024
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",B07PNKZ4Y8,1,$29.16,$29.16,12/6/2024
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",B07PNKZ4Y8,1,$29.16,$29.16,9/4/2024
"Keurig Coffee Lovers' Collection Sampler Pack, Single-Serve K-Cup Pods, Compatible with all Keurig 1",B071Z8LD77,1,$28.99,$28.99,2/20/2025
"Keurig Coffee Lovers' Collection Sampler Pack, Single-Serve K-Cup Pods, Compatible with all Keurig 1",B071Z8LD77,1,$28.99,$28.99,2/20/2025
"120 PCS Bamboo Marshmallow Roasting Sticks, SMores Skewers for Fire Pit, Extra Long 30 Inch Heavy Du",B083VRLMKJ,1,$27.95,$27.95,5/26/2025
"Redken Brews Thickening Mens Shampoo, Shampoo for Thinning hair and hair loss 10.1 fl. oz.",B07X2J7224,1,$21.00,$21.00,2/9/2025
"McCormick Culinary Pure Peppermint Extract, 16 fl oz - One 16 Fluid Ounce Bottle of Peppermint Extra",B008OGD21G,1,$19.95,$19.95,5/21/2025
"Starbucks Pike Place Decaffeinated Coffee Single-Serve K-Cup, 24 Count",B077HFSG76,1,$19.51,$19.51,10/31/2024
"DecorRack 100 Aluminum Pans with Lid, 7 x 4.5 Inch Small Loaf Bread Pans Meal Prep Takeout Container",B08WHK8NY9,1,$17.90,$17.90,9/17/2024
"Nestle Coffee mate Coffee Creamer, Original, Liquid Creamer Singles, Non Dairy, No Refrigeration, 0.",B00451SGZ6,1,$15.94,$15.94,2/20/2025
"Nestle Coffee mate Coffee Creamer, French Vanilla, Liquid Creamer Singles, Non Dairy, No Refrigerati",B00451U9Q0,1,$13.99,$13.99,5/28/2025
"Nestle Coffee mate Coffee Creamer, French Vanilla, Liquid Creamer Singles, Non Dairy, No Refrigerati",B00451U9Q0,1,$13.99,$13.99,5/13/2025
"Nestle Coffee mate Coffee Creamer, French Vanilla, Liquid Creamer Singles, Non Dairy, No Refrigerati",B00451U9Q0,1,$13.99,$13.99,2/20/2025
"Nestle Coffee mate Coffee Creamer, French Vanilla, Liquid Creamer Singles, Non Dairy, No Refrigerati",B00451U9Q0,1,$13.99,$13.99,1/21/2025
"Nestle Coffee mate Coffee Creamer, French Vanilla, Liquid Creamer Singles, Non Dairy, No Refrigerati",B00451U9Q0,1,$13.99,$13.99,12/6/2024
"Nestle Coffee mate Coffee Creamer, French Vanilla, Liquid Creamer Singles, Non Dairy, No Refrigerati",B00451U9Q0,1,$13.99,$13.99,10/31/2024
