Category,Title,Total Price,Quantity,Unit Price,Date,Recommendation
Luxury Electronics,Sonos Ace - Black - Wireless Over Ear Headphones with Noise Cancellation,$2094.00,6,$349.00,11/21/2024,Find cheaper alternative
Luxury Electronics,"SAMSUNG 49"" Odyssey G9 Series DQHD 1000R Curved Gaming Monitor, 1ms(GtG), VESA DisplayHDR 1000, 240H",$799.00,1,$799.00,2/25/2025,Find cheaper alternative
Luxury Electronics,HP EliteBook 830 G7 Laptop Computer 1920x1080 13.3-inch Full HD Touchscreen Intel Core i7-10610U 1.8,$378.95,1,$378.95,2/28/2025,Find cheaper alternative
Luxury Electronics,"acer Nitro 29.5"" 1500R Curved Zero-Frame UWFHD 2560 x 1080 Gaming Monitor | AMD FreeSync Premium | U",$199.99,1,$199.99,8/25/2024,Find cheaper alternative
Luxury Electronics,CORSAIR VENGEANCE RGB DDR5 64GB (2x32GB) DDR5 5600MHz CL36 AMD EXPO Intel XMP iCUE Compatible Comput,$194.99,1,$194.99,2/25/2025,Find cheaper alternative
Luxury Electronics,"Crucial T700 2TB Gen5 NVMe M.2 SSD with Heatsink - Up to 12,400 MB/s - DirectStorage Enabled - CT200",$169.99,1,$169.99,2/25/2025,Find cheaper alternative
Luxury Electronics,"2x2 FT Center Basket LED Troffer Panel Light, 20/30/40W, 3 Color Options 3000K | 4000K | 5000K, Dimm",$149.85,1,$149.85,9/2/2024,Find cheaper alternative
Luxury Electronics,"VISWIN Premium H Frame Easel 75"" to 146""H, Hold Canvas to 93"", Solid Beech Wood Large Artist Easel f",$139.00,1,$139.00,2/1/2025,Find cheaper alternative
Luxury Electronics,"Thermalright Grand Vision 360 ARGB Black CPU AIO Cooler,PC 360 Specification Water Cooler System,IPS",$134.90,0,$0.00,2/25/2025,Find cheaper alternative
Luxury Electronics,"ARCTIC Liquid Freezer III 360 A-RGB - CPU AIO Water Cooler, Water Cooling PC, Intel & AMD, Efficient",$110.10,1,$110.10,3/3/2025,Find cheaper alternative
Luxury Electronics,"CORSAIR Frame 4000D RS ARGB Modular Mid-Tower ATX PC Case - High Airflow, 3X Pre-Installed RS ARGB F",$109.99,1,$109.99,2/25/2025,Find cheaper alternative
Luxury Electronics,SUNVIE 12W Low Voltage Landscape Lighting RGB Color Changing LED Landscape Lights Remote Control Wat,$109.49,1,$109.49,5/30/2025,Find cheaper alternative
Luxury Electronics,"Softsoap - US05264A SOFTSOAP Liquid Hand Soap Refill, Soothing Aloe Vera, 50 Ounce Bottle, Bathroom ",$103.44,3,$34.48,6/23/2025,Find cheaper alternative
Luxury Electronics,"WiiM Mini AirPlay2 Wireless Audio Streamer, Multiroom Stereo, Preamplifier, Works with Alexa and Sir",$84.55,1,$84.55,9/9/2024,Find cheaper alternative
Luxury Electronics,"WOWNOVA 5"" Computer Temp Monitor (Dynamic Theme Supported), Pc Temperature Display, PC Sensor Panel ",$69.99,1,$69.99,3/4/2025,Find cheaper alternative
Luxury Electronics,"LED Flood Light Outdoor 30W, 300W Equivalent 3000LM Smart RGB Landscape Lighting with APP Control, D",$54.99,1,$54.99,6/3/2025,Find cheaper alternative
Luxury Electronics,"Tork Premium MB579 Soft Xpress Multifold Paper Hand Towel, 3-Panel, 2-Ply, 9.125"" Width x 9.5"" Lengt",$46.72,1,$46.72,1/21/2025,Find cheaper alternative
Luxury Electronics,"Tork Premium MB579 Soft Xpress Multifold Paper Hand Towel, 3-Panel, 2-Ply, 9.125"" Width x 9.5"" Lengt",$43.53,1,$43.53,4/1/2025,Find cheaper alternative
Luxury Electronics,"Tork Premium MB579 Soft Xpress Multifold Paper Hand Towel, 3-Panel, 2-Ply, 9.125"" Width x 9.5"" Lengt",$43.09,1,$43.09,9/30/2024,Find cheaper alternative
Luxury Electronics,Premium Coco Coir Brick - 10LBS / 4.5KG - Makes 18-20 Gallons - OMRI Listed - Eco-Friendly - Low EC ,$39.98,2,$19.99,4/24/2025,Find cheaper alternative
Luxury Electronics,"TP-Link Tapo Matter Outdoor Smart Plug, 2 Individual outlets, IP65 Weather Resistance, Works with Ap",$39.98,2,$19.99,4/3/2025,Find cheaper alternative
Luxury Electronics,"Softsoap - US05264A SOFTSOAP Liquid Hand Soap Refill, Soothing Aloe Vera, 50 Ounce Bottle, Bathroom ",$38.94,1,$38.94,5/16/2025,Find cheaper alternative
Luxury Electronics,"Cable Matters [VESA Certified] 54Gbps DisplayPort 2.1 Cable 3m/9.8ft, DP54 Cable with, 8K 165Hz, 4K ",$37.90,2,$18.95,3/5/2025,Find cheaper alternative
Luxury Electronics,American Ground Screw Model 2 Premium No Dig Ground Anchor - Post & Flag Pole Base Ground Mount - Sc,$34.99,1,$34.99,4/29/2025,Find cheaper alternative
Luxury Electronics,"Minoston Matter Outdoor Smart Plug, WiFi Heavy Duty Plug-in Outlet IP65 Waterproof, Compatible with ",$30.00,1,$30.00,6/11/2025,Find cheaper alternative
Luxury Electronics,"Minoston Matter Outdoor Smart Plug, WiFi Heavy Duty Plug-in Outlet IP65 Waterproof, Compatible with ",$30.00,1,$30.00,5/30/2025,Find cheaper alternative
Luxury Electronics,"Minoston Matter Outdoor Smart Plug, WiFi Heavy Duty Plug-in Outlet IP65 Waterproof, Compatible with ",$30.00,1,$30.00,5/2/2025,Find cheaper alternative
Luxury Electronics,"Minoston Matter Outdoor Smart Plug, WiFi Heavy Duty Plug-in Outlet IP65 Waterproof, Compatible with ",$30.00,1,$30.00,4/30/2025,Find cheaper alternative
Luxury Electronics,"Softsoap - US05264A SOFTSOAP Liquid Hand Soap Refill, Soothing Aloe Vera, 50 Ounce Bottle, Bathroom ",$28.44,1,$28.44,1/23/2025,Find cheaper alternative
Luxury Electronics,"Softsoap - US05264A SOFTSOAP Liquid Hand Soap Refill, Soothing Aloe Vera, 50 Ounce Bottle, Bathroom ",$28.44,1,$28.44,1/21/2025,Find cheaper alternative
Luxury Electronics,"Noctua NF-A14 PWM chromax.Black.swap, Premium Quiet Fan, 4-Pin (140mm, Black)",$26.92,1,$26.92,2/25/2025,Find cheaper alternative
Luxury Electronics,HumanCentric Wall Mount Compatible with Sonos Amp | Mounting Bracket for Sonos Wireless Amplifier | ,$24.98,1,$24.98,8/11/2024,Find cheaper alternative
Luxury Electronics,"Domino Premium Pure Cane Sugar, 0.10 Ounce (2.8 Gram) NON-GMO Packets, Pack of 400 in Dispenser Box",$20.89,1,$20.89,10/31/2024,Find cheaper alternative
Luxury Electronics,"Nishiki Premium Rice, Medium Grain,15 Pound (Pack of 1)",$18.54,1,$18.54,5/12/2025,Find cheaper alternative
Luxury Electronics,NoCry Premium Cut Resistant Gloves Food Grade - Level 5 Protection; Ambidextrous; Machine Washable; ,$13.69,1,$13.69,9/22/2024,Find cheaper alternative
Luxury Electronics,Lumi SPORTS 12-Pack Premium Outdoor Pickleball Balls | 40 Holes Fluorescent Green Balls | All-Surfac,$10.99,1,$10.99,5/30/2025,Find cheaper alternative
Luxury Electronics,UpNature Cedarwood Essential Oil 4oz - 100% Pure Cedar Oil - Premium Quality Cedarwood Oil,$9.98,1,$9.98,8/11/2024,Find cheaper alternative
Luxury Electronics,"Perfect Stix Premium Wooden Coffee Stirrer Sticks, Thick Birch Wood 1000 Count, 5.5"" Inches. Eco-Fri",$9.85,1,$9.85,12/6/2024,Find cheaper alternative
Luxury Electronics,"Sweaty Pony 4PCS Paint Pallet Clear Premium Acrylic Paint Palette, Easy Clean Transparent Non-Stick ",$7.99,1,$7.99,2/1/2025,Find cheaper alternative
Luxury Electronics,"CAT8 Ethernet Cable - 1ft - Internet, Patch & Network Cable with Flexible Break-Proof braiding Desig",$6.39,1,$6.39,10/6/2024,Find cheaper alternative
Luxury Electronics,"Wapodeai 3PCS White Electrical Tape, Premium White Waterproof Tape, Flame Retardant indoor Outdoor H",$5.49,1,$5.49,9/4/2024,Find cheaper alternative
Luxury Electronics,Minisland Premium 6 inch Bamboo Skewers for Appetizers Fruit Kabobs 3mm Thin Small Short Wooden Food,$4.95,1,$4.95,3/17/2025,Find cheaper alternative
Premium Coffee,"Starbucks K-Cup Coffee Pods-Starbucks Blonde, Medium & Dark Roast Coffee-Variety Pack for Keurig Bre",$66.36,2,$33.18,8/8/2024,Find cheaper alternative
Premium Coffee,"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",$35.82,1,$35.82,1/21/2025,Find cheaper alternative
Premium Coffee,"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",$35.82,1,$35.82,11/13/2024,Find cheaper alternative
Premium Coffee,"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",$35.82,1,$35.82,10/31/2024,Find cheaper alternative
Premium Coffee,"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",$29.16,1,$29.16,12/6/2024,Find cheaper alternative
Premium Coffee,"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Pike Place Roast for Keurig Brewers, 100% Arabica,",$29.16,1,$29.16,9/4/2024,Find cheaper alternative
Premium Coffee,"Starbucks Pike Place Decaffeinated Coffee Single-Serve K-Cup, 24 Count",$19.51,1,$19.51,10/31/2024,Find cheaper alternative
Expensive Furniture,Master Massage Ergonomic Saddle Chair-Saddle Stool- Hydraulic Swivel Rolling Chair-Salon Clinical Ta,$119.77,1,$119.77,9/30/2024,Find cheaper alternative
Expensive Furniture,Marsail Ergonomic Office Chair: Office Computer Desk Chair with High Back Mesh and Adjustable Lumbar,$99.98,1,$99.98,7/17/2024,Find cheaper alternative
Expensive Furniture,"Flash Furniture Mallard Mid-Back Swivel Mesh Office Chair with Padded Seat and T-Arms, Height-Adjust",$88.60,1,$88.60,7/8/2024,Find cheaper alternative
Expensive Furniture,"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, De",$21.99,1,$21.99,8/25/2024,Find cheaper alternative
Expensive Furniture,"DURARANGE Luxury Golf Tees - Transparent, Adjustable Height Stoppers, 4-Prong Anti-Slip, Enhanced St",$12.88,1,$12.88,6/3/2025,Find cheaper alternative
Decorative Non Essential,"Agri-Fab 45-0299 48"" Tow Behind Lawn Plug Aerator with Universal Hitch; Designed to Pull Behind Lawn",$366.73,1,$366.73,6/30/2025,Eliminate
Decorative Non Essential,"Sodeno 20 PCS Silvery 3D Wall Panels, 29 sq.feet Coverage, Printable Wallpaper Sticker with Self-Adh",$156.70,5,$31.34,2/26/2025,Eliminate
Decorative Non Essential,"Sodeno 20 PCS Silvery 3D Wall Panels, 29 sq.feet Coverage, Printable Wallpaper Sticker with Self-Adh",$156.70,5,$31.34,2/19/2025,Eliminate
Decorative Non Essential,"Bluetable 9 Inch Paper Plates Bulk - 1200 Count - Uncoated White 9"" Dinner Plate Pizza Plate Decorat",$51.40,1,$51.40,3/10/2025,Eliminate
Decorative Non Essential,"Bluetable 9 Inch Paper Plates Bulk - 1200 Count - Uncoated White 9"" Dinner Plate Pizza Plate Decorat",$51.40,1,$51.40,3/7/2025,Eliminate
Decorative Non Essential,"Bluetable 9 Inch Paper Plates Bulk - 1200 Count - Uncoated White 9"" Dinner Plate Pizza Plate Decorat",$49.10,1,$49.10,11/13/2024,Eliminate
Decorative Non Essential,"Fiskars Loppers for Tree Trimming, Heavy Duty, Sharp Bypass Steel Blade Tree Branch Cutter up to 2-I",$44.99,1,$44.99,9/22/2024,Eliminate
Decorative Non Essential,Cuisinart CGR-9922 2-Piece Silicone Griddle Food Dividers - Anti-Warp Design,$25.48,2,$12.74,7/21/2024,Eliminate
Decorative Non Essential,THIODOON Golf Flagstick 6ft Golf Flag and Cup for Yard Pro Detachable Golf Hole Cup and Flag for Dri,$19.99,1,$19.99,5/27/2025,Eliminate
Decorative Non Essential,Skylety 6 Pieces Mini Flamingo Stuffed Animal Plush Toys 5 Inch Flamingo Party Favors Valentine Day ,$19.98,2,$9.99,4/13/2025,Eliminate
Decorative Non Essential,Aesthetica Makeup Removing Wipes - Face & Eye Makeup Remover Wipes - 6 Pack Bulk (180 Wipes Total) H,$19.97,1,$19.97,8/8/2024,Eliminate
Decorative Non Essential,"KUNCAN Outdoor 3-Outlet Power Splitter, 90-Degree Flat Plug 1 to 3 Way Outlet Adapter 1.5FT SJTW 16A",$16.99,1,$16.99,6/11/2025,Eliminate
Decorative Non Essential,"Let's Flamingle Regular Can Coolers, Set of 12 - Pink and White Flamingo Party Supplies for Bachelor",$15.89,1,$15.89,4/13/2025,Eliminate
Decorative Non Essential,Finch Bird Feeder for Outdoors (16 Ports) Thistle & Nyjer Seed Hanging Feeder with 16 Ports and 8 Me,$15.29,1,$15.29,5/26/2025,Eliminate
Decorative Non Essential,"Elecan Flat Plug Extension Cord 4 Ft 2 Pack with Slim Space-Saving Plug Design, Thin Flat Cable Low ",$13.99,1,$13.99,6/11/2025,Eliminate
Decorative Non Essential,"uxcell 12 Pcs Mirror Disco Ball Necklaces 1.2"" Bulk Disco Ball Costume Necklaces 70s Disco Party Nec",$13.99,1,$13.99,2/9/2025,Eliminate
Decorative Non Essential,"2.5in Long Shackle Combination Lock, Diyife Large Outdoor Weatherproof Padlock, Design of Hidden Pas",$9.99,1,$9.99,3/28/2025,Eliminate
Decorative Non Essential,"2.5in Long Shackle Combination Lock, Diyife Large Outdoor Weatherproof Padlock, Design of Hidden Pas",$9.99,1,$9.99,3/24/2025,Eliminate
Decorative Non Essential,"Artlunar Funny Garden Sign Outside Decor - Humorous Gardening Gift for Women Enthusiasts, 12"" x 8"" (",$9.69,1,$9.69,6/30/2025,Eliminate
Decorative Non Essential,LINGXIU 9 Pieces Flamingo Themed Party Decoration Supplies Summer Hawaiian Tropical Aloha Honeycomb ,$8.99,1,$8.99,4/13/2025,Eliminate
Decorative Non Essential,"Flamingo Rubber Duckies for Kids, 12PCS Pink Flamingo Duck Bath Toys Cute Floating Squeaky Mini Rubb",$8.95,1,$8.95,4/13/2025,Eliminate
Decorative Non Essential,"3 Rolls Motivational Stickers for Kids, 1500 Pcs Teacher Reward Stickers School Supplies Roll Sticke",$7.99,1,$7.99,12/6/2024,Eliminate
Decorative Non Essential,"Gold Glitter Let's Flamingle Party Banner,Summer Tropical Hawaiian Bachelorette Party Bridal Shower ",$4.99,1,$4.99,4/13/2025,Eliminate
Decorative Non Essential,Cats Eyes Vinyl Stickers Scary Halloween Decoration Vinyl Sticker Decal Laptop Car Bumper Sticker Tr,$4.95,1,$4.95,5/24/2025,Eliminate
Premium Food Treats,"Fluffy Stuff Cotton Candy, 2.5-Ounce Packages (Pack of 24)",$55.98,1,$55.98,9/16/2024,Find cheaper alternative
Premium Food Treats,"100 Grand Crispy Milk Chocolate with Caramel, Full Size Individually Wrapped Candy Bars, 1.5 oz each",$42.44,1,$42.44,5/12/2025,Find cheaper alternative
Premium Food Treats,Big League Team Rally Bucket 240 Individually Wrapped Gumballs Net Wt. 50.8 oz,$35.99,1,$35.99,6/14/2025,Find cheaper alternative
Premium Food Treats,"PAYDAY Peanut Caramel King Size, Candy Bars, 3.4 oz (18 Count)",$27.54,1,$27.54,5/12/2025,Find cheaper alternative
Premium Food Treats,"Frito Lay Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, (Pack ",$25.97,1,$25.97,9/17/2024,Find cheaper alternative
Premium Food Treats,"Frito Lay Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, (Pack ",$25.97,1,$25.97,9/17/2024,Find cheaper alternative
Premium Food Treats,"Frito Lay Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, (Pack ",$25.97,1,$25.97,9/17/2024,Find cheaper alternative
Premium Food Treats,"Nestle Hot Chocolate Packets, Hot Cocoa Mix, Rich Chocolate Flavor, Made with Real Cocoa, Bulk Pack,",$21.74,1,$21.74,12/6/2024,Find cheaper alternative
Premium Food Treats,"Cheez-It Cheese Crackers, Baked Snack Crackers, Lunch Snacks, Variety Pack (42 Packs)",$20.99,1,$20.99,8/12/2024,Find cheaper alternative
Premium Food Treats,"Nestle Hot Chocolate Packets, Hot Cocoa Mix, Rich Chocolate Flavor, Made with Real Cocoa, Bulk Pack,",$19.77,1,$19.77,2/3/2025,Find cheaper alternative
Premium Food Treats,"Nestle Hot Chocolate Packets, Hot Cocoa Mix, Rich Chocolate Flavor, Made with Real Cocoa, Bulk Pack,",$18.06,1,$18.06,9/13/2024,Find cheaper alternative
Premium Food Treats,"Quaker Chewy Granola Bars, Chewy & Dipps 4 Flavor Variety Pack, 58 Pack, Chocolate Chip, Peanut Butt",$17.29,1,$17.29,1/23/2025,Find cheaper alternative
Premium Food Treats,"Swiss Miss Milk Chocolate Flavor Hot Cocoa Mix, 1.38 oz. 50-Count",$16.72,2,$8.36,3/28/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Pouches, 0.8 oz, 40 ct",$15.78,2,$7.89,9/6/2024,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Pouches, 0.8 oz, 40 ct",$15.46,2,$7.73,7/25/2024,Find cheaper alternative
Premium Food Treats,"Orville Redenbacher's Gourmet Popcorn Kernels, Original Yellow, 8 lb.",$13.28,1,$13.28,1/21/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Halloween Candy Alternative, Pouches, 0.8 oz, 40 ct",$8.29,1,$8.29,10/30/2024,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free Snack, Family Pack, 40 Ct, 32 oz",$7.97,1,$7.97,6/6/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free Snack, Family Pack, 40 Ct, 32 oz",$7.97,1,$7.97,5/13/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Easter Basket Stuffers, Assorted Fruit, Gluten Free, Family Pack, 40 C",$7.97,1,$7.97,4/9/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Easter Basket Stuffers, Assorted Fruit, Gluten Free, Family Pack, 40 C",$7.97,1,$7.97,4/1/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free Snack, Family Pack, 40 Ct, 32 oz",$7.97,1,$7.97,2/18/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free Snack, Family Pack, 40 Ct, 32 oz",$7.97,1,$7.97,1/30/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free Snack, Family Pack, 40 Ct, 32 oz",$7.97,1,$7.97,1/6/2025,Find cheaper alternative
Premium Food Treats,"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free Snack, Family Pack, 40 Ct, 32 oz",$6.84,1,$6.84,7/2/2025,Find cheaper alternative
Excessive Lighting,Wirefy 10/2 Low Voltage Landscape Lighting Copper Wire - Outdoor Direct Burial - 10-Gauge 2-Conducto,$513.00,3,$171.00,3/13/2025,Eliminate
Excessive Lighting,SUNVIE LED Low Voltage Pathway Lights Wired 3000K Anti Glare Low Voltage Landscape Lighting Waterpro,$389.97,3,$129.99,3/13/2025,Eliminate
